Restaurant_Name,Rating,Cuisine_Type,Cost_for_one,Delivery_time,Offers,Restaurant_url
Buff Grill,4.4,"Burger, Pizza, Wraps, Sandwich, Fast Food",₹200 for one,54 min,Free Margherita Pizza,https://www.zomato.com/ncr/buff-grill-chawri-bazar-new-delhi/order
Bakisto,4.2,"Chinese, Sandwich, Burger, Fast Food, Momos, Bakery",₹150 for one,34 min,20% OFF,https://www.zomato.com/ncr/bakisto-west-patel-nagar-new-delhi/order
High On Desserts,4.2,"Cafe, Pancake, Waffle, Desserts, Shake, Beverages, Coffee, Ice Cream",₹200 for one,25 min,No Offers,https://www.zomato.com/ncr/high-on-desserts-connaught-place-new-delhi/order
Special No1 Biryani House,3.9,"Mughlai, Biryani",₹150 for one,23 min,No Offers,https://www.zomato.com/ncr/special-no1-biryani-house-paharganj-new-delhi/order
Le Winkies,4.3,"Pizza, Beverages, Burger, Sandwich, Shake, Fast Food",₹150 for one,35 min,Free Virgin Mojito,https://www.zomato.com/ncr/le-winkies-east-patel-nagar-new-delhi/order
Swagat - Food Pallette Of India,4.1,"North Indian, Chinese, Street Food, Sandwich, Fast Food, Shake, Desserts, Beverages",₹250 for one,31 min,40% OFF,https://www.zomato.com/ncr/swagat-food-pallette-of-india-paharganj-new-delhi/order
AKU'S - The Burger Co.,4.5,"Burger, Fast Food, Beverages",₹250 for one,38 min,20% OFF,https://www.zomato.com/ncr/akus-the-burger-co-defence-colony-new-delhi/order
Punjabi Nitin Vaishno Dhaba,3.6,North Indian,₹100 for one,47 min,No Offers,https://www.zomato.com/ncr/punjabi-nitin-vaishno-dhaba-asaf-ali-road-new-delhi/order
Cafe Delhi Heights,4.3,"North Indian, Italian, Burger, Continental, Pizza, Pasta, Asian, Desserts",₹600 for one,48 min,₹125 OFF,https://www.zomato.com/ncr/cafe-delhi-heights-naraina-new-delhi/order
Flavours Of Chaap,4.3,"Pizza, Burger, Rolls, North Indian",₹150 for one,23 min,₹125 OFF,https://www.zomato.com/ncr/flavours-of-chaap-2-gole-market-new-delhi/order
The Karim's Food,3.5,"North Indian, Mughlai",₹250 for one,54 min,No Offers,https://www.zomato.com/ncr/the-karims-food-azad-market-new-delhi/order
Hafiz Foods,4.2,"Pizza, Fast Food",₹150 for one,64 min,No Offers,https://www.zomato.com/ncr/hafiz-foods-chawri-bazar-new-delhi/order
Handi Chhadeyan Di,4.2,"North Indian, Chinese, Mughlai, Rolls",₹200 for one,22 min,No Offers,https://www.zomato.com/ncr/handi-chhadeyan-di-connaught-place-new-delhi/order
A One Food Center,4.2,"North Indian, Mughlai",₹150 for one,42 min,No Offers,https://www.zomato.com/ncr/a-one-food-center-inderlok-new-delhi/order
Ghalib Kabab Corner,4.3,"North Indian, Mughlai, Kebab",₹200 for one,30 min,No Offers,https://www.zomato.com/ncr/ghalib-kabab-corner-nizamuddin-new-delhi/order
Capital Diner,4.3,"North Indian, Chinese, Burger, Pizza, Sandwich, Rolls, Bakery, Desserts",₹250 for one,30 min,No Offers,https://www.zomato.com/ncr/capital-diner-connaught-place-new-delhi/order
Blue Water Grille,4.1,"North Indian, Mughlai, Seafood, Rolls",₹400 for one,35 min,40% OFF,https://www.zomato.com/ncr/blue-water-grille-1-rajinder-nagar-new-delhi/order
H. Roll's & Shawarma,3.9,"Rolls, Shawarma, Fast Food",₹100 for one,42 min,No Offers,https://www.zomato.com/ncr/h-rolls-shawarma-laxmi-nagar-new-delhi/order
Havemore,4.4,"North Indian, Mughlai, Biryani, Beverages","₹1,200 for one",45 min,60% OFF,https://www.zomato.com/ncr/havemore-pandara-road-new-delhi/order
Door To Door,3.7,"Street Food, Chinese, North Indian, Mughlai, Biryani, Beverages",₹200 for one,48 min,No Offers,https://www.zomato.com/ncr/door-to-door-model-town-new-delhi/order
Railway Yard,3.8,"Chinese, Beverages",₹200 for one,53 min,₹125 OFF,https://www.zomato.com/ncr/railway-yard-moti-nagar-new-delhi/order
Healthy Chef,4.3,"Healthy Food, Continental, American, Burger, Salad, Desserts, Beverages",₹400 for one,35 min,Flat 15% OFF,https://www.zomato.com/ncr/healthy-chef-east-patel-nagar-new-delhi/order
Cafe Healthy High By Nirula's,4.1,"Healthy Food, Grilled Chicken, Salad, Sandwich, Wraps, Pizza, Burger",₹200 for one,41 min,20% OFF,https://www.zomato.com/ncr/cafe-healthy-high-by-nirulas-defence-colony-new-delhi/order
Homemade Kitchen,4.3,North Indian,₹100 for one,53 min,No Offers,https://www.zomato.com/ncr/homemade-kitchen-geeta-colony-new-delhi/order
Wat-a-Burger! - India ka Burger,4.3,"Burger, Sandwich, Wraps, Fast Food, Desserts, Shake, Beverages, Momos",₹150 for one,39 min,Flat 20% OFF,https://www.zomato.com/ncr/wat-a-burger-india-ka-burger-krishna-nagar-new-delhi/order
The Magician Chef,4.1,"North Indian, Chinese, Biryani",₹200 for one,44 min,No Offers,https://www.zomato.com/ncr/the-magician-chef-west-patel-nagar-new-delhi/order
Roll Express,4.1,Rolls,₹100 for one,30 min,No Offers,https://www.zomato.com/ncr/roll-express-rajinder-nagar-new-delhi/order
Galaxy Pizza,4.5,Pizza,₹150 for one,52 min,No Offers,https://www.zomato.com/ncr/galaxy-pizza-lajpat-nagar-1-new-delhi/order
Chinese Mania,3.5,"Chinese, Fast Food",₹150 for one,42 min,50% OFF,https://www.zomato.com/ncr/chinese-mania-laxmi-nagar-new-delhi/order
Hotel Le Roi,4.2,"North Indian, Mughlai, Chinese, Biryani",₹350 for one,41 min,No Offers,https://www.zomato.com/ncr/hotel-le-roi-paharganj-new-delhi/order
The Delish,4.1,North Indian,₹200 for one,39 min,No Offers,https://www.zomato.com/ncr/the-delish-west-patel-nagar-new-delhi/order
High On Burgers,3.8,"Burger, Wraps, Shake, Beverages",₹150 for one,42 min,No Offers,https://www.zomato.com/ncr/high-on-burgers-satyaniketan-new-delhi/order
Gulati,4.5,"North Indian, Mughlai, Biryani, Kebab, Desserts, Beverages",₹900 for one,49 min,50% OFF,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi/order
Valentino Pizzeria by Nirula's,3.8,"Pizza, Pasta, Sandwich, Italian, Shake, Beverages, Ice Cream, Desserts",₹200 for one,25 min,50% OFF,https://www.zomato.com/ncr/valentino-pizzeria-by-nirulas-connaught-place-new-delhi/order
The F Spot Shawarma & More,4.1,"Shawarma, Street Food, Salad, Burger, Beverages",₹100 for one,29 min,No Offers,https://www.zomato.com/ncr/the-f-spot-shawarma-more-karol-bagh-new-delhi/order
Para Chicken Point,3.9,"North Indian, Chinese, Mughlai",₹200 for one,36 min,No Offers,https://www.zomato.com/ncr/para-chicken-point-inderlok-new-delhi/order
Chaurasia Dhaba,4.0,North Indian,₹100 for one,36 min,No Offers,https://www.zomato.com/ncr/chaurasia-dhaba-paharganj-new-delhi/order
Chef Bhaijaans,3.9,"Burger, Pizza, Rolls, Momos, Shake, Desserts",₹100 for one,60 min,No Offers,https://www.zomato.com/ncr/chef-bhaijaans-daryaganj-new-delhi/order
Junkies Zone,4.1,"Burger, Fast Food, Shake, Coffee, Beverages",₹150 for one,33 min,No Offers,https://www.zomato.com/ncr/junkies-zone-laxmi-nagar-new-delhi/order
Amigo's Hub,4.1,"Cafe, Momos, Pizza, Desserts, Burger, Fast Food, Beverages, Shake",₹150 for one,38 min,No Offers,https://www.zomato.com/ncr/amigos-hub-satyaniketan-new-delhi/order
Khao Dilli,3.7,"North Indian, Biryani",₹100 for one,30 min,No Offers,https://www.zomato.com/ncr/khao-dilli-paharganj-new-delhi/order
Pind Kaneda,4.6,"North Indian, Biryani, Mughlai",₹250 for one,53 min,No Offers,https://www.zomato.com/ncr/pind-kaneda-chanakyapuri-new-delhi/order
Shree Manokamana Fast Food,4.2,"Fast Food, Burger, Momos, Chinese",₹150 for one,38 min,No Offers,https://www.zomato.com/ncr/shree-manokamana-fast-food-laxmi-nagar-new-delhi/order
Barista Coffee,4.2,"Cafe, Coffee, Tea, Fast Food, Beverages, Desserts",₹200 for one,32 min,20% OFF,https://www.zomato.com/ncr/barista-coffee-east-patel-nagar-new-delhi/order
Divine Home Kitchen,4.3,"North Indian, Chinese",₹250 for one,42 min,No Offers,https://www.zomato.com/ncr/divine-home-kitchen-lodhi-colony-new-delhi/order
Chaat Mahal,3.7,"Chinese, Momos, North Indian",₹100 for one,38 min,No Offers,https://www.zomato.com/ncr/chaat-mahal-laxmi-nagar-new-delhi/order
Al Yameen,3.5,"North Indian, Mughlai, Biryani",₹200 for one,56 min,No Offers,https://www.zomato.com/ncr/al-yameen-azad-market-new-delhi/order
Eat And Smile,4.4,"North Indian, Pizza, Burger, Pasta, Sandwich, Fast Food, Street Food",₹100 for one,48 min,No Offers,https://www.zomato.com/ncr/eat-and-smile-inderlok-new-delhi/order
Aapki Apni Rasoi,3.9,"North Indian, Fast Food, Street Food",₹100 for one,44 min,No Offers,https://www.zomato.com/ncr/aapki-apni-rasoi-1-civil-lines-new-delhi/order
Ghar Ka Swaad,4.2,North Indian,₹150 for one,47 min,No Offers,https://www.zomato.com/ncr/ghar-ka-swaad-1-civil-lines-new-delhi/order
PVR Café,4.3,Fast Food,₹350 for one,28 min,60% OFF,https://www.zomato.com/ncr/pvr-caf%C3%A9-connaught-place-new-delhi/order
Krispy Kreme,4.1,"Desserts, Beverages",₹150 for one,N/A,No Offers,https://www.zomato.com/ncr/krispy-kreme-kamla-nagar-new-delhi/order
Chinese Hut,4.1,"Chinese, Momos, Rolls",₹150 for one,36 min,10% OFF,https://www.zomato.com/ncr/chinese-hut-jangpura-new-delhi/order
Cafe Sandoz,4.1,"Cafe, North Indian, Mughlai, Chinese, Biryani, Fast Food, Desserts",₹600 for one,27 min,No Offers,https://www.zomato.com/ncr/cafe-sandoz-connaught-place-new-delhi/order
Garhwali Rasoi,3.8,"North Indian, Chinese, Biryani, Mughlai",₹200 for one,48 min,No Offers,https://www.zomato.com/ncr/garhwali-rasoi-delhi-university-gtb-nagar-new-delhi/order
Sabka Chulha,3.7,"North Indian, Rolls, Biryani, Kebab, Mughlai, Chinese, Desserts",₹200 for one,49 min,No Offers,https://www.zomato.com/ncr/sabka-chulha-lajpat-nagar-1-new-delhi/order
Mom's Own Kitchen,4.1,"North Indian, Burger, Fast Food, Street Food, Chinese",₹150 for one,47 min,No Offers,https://www.zomato.com/ncr/moms-own-kitchen-inderlok-new-delhi/order
Teavaro,4.6,"Fast Food, Sandwich, Wraps, Bubble Tea, Waffle, Desserts, Beverages",₹400 for one,31 min,50% OFF,https://www.zomato.com/ncr/teavaro-satyaniketan-new-delhi/order
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.2,"Shake, Beverages, Desserts, Ice Cream, Waffle, Healthy Food",₹200 for one,23 min,No Offers,https://www.zomato.com/ncr/frozen-bottle-milkshakes-desserts-and-ice-cream-connaught-place-new-delhi/order
Delhi Biryani Corner,4.2,"Biryani, North Indian, Mughlai",₹200 for one,30 min,No Offers,https://www.zomato.com/ncr/delhi-biryani-corner-paharganj-new-delhi/order
Indigo Paradise Cafe,3.7,"North Indian, Chinese, Burger, Wraps, Sandwich, Biryani, Fast Food, Shake",₹300 for one,51 min,No Offers,https://www.zomato.com/ncr/indigo-paradise-cafe-defence-colony-new-delhi/order
Arabian Delites - Lebanese Legacy Since 1994,4.1,"Lebanese, Wraps, Arabian, Shawarma, Mediterranean",₹200 for one,40 min,₹100 OFF,https://www.zomato.com/ncr/arabian-delites-lebanese-legacy-since-1994-defence-colony-new-delhi/order
The Mus'k Bakers,4.1,Bakery,₹250 for one,34 min,50% OFF,https://www.zomato.com/ncr/the-musk-bakers-laxmi-nagar-new-delhi/order
Delights By Inox,4.1,"Street Food, Fast Food",₹200 for one,45 min,60% OFF,https://www.zomato.com/ncr/delights-by-inox-connaught-place-new-delhi/order
Star Bite Roll,4.2,"Rolls, Fast Food",₹100 for one,48 min,No Offers,https://www.zomato.com/ncr/star-bite-roll-azad-market-new-delhi/order
Nagpal's,3.6,"North Indian, Beverages",₹100 for one,44 min,No Offers,https://www.zomato.com/ncr/nagpals-lajpat-nagar-1-new-delhi/order
Oriental Mom,3.7,"Asian, Chinese, Sichuan",₹250 for one,37 min,40% OFF,https://www.zomato.com/ncr/oriental-mom-west-patel-nagar-new-delhi/order
Shova's Kitchen,4.0,"North Indian, South Indian, Chinese, Biryani, Street Food",₹150 for one,51 min,No Offers,https://www.zomato.com/ncr/shovas-kitchen-rana-pratap-bagh-new-delhi/order
Indian Naan Club,3.7,"North Indian, Chinese, Fast Food",₹150 for one,34 min,No Offers,https://www.zomato.com/ncr/indian-naan-club-paharganj-new-delhi/order
White Cub,3.5,"Ice Cream, Shake",₹100 for one,38 min,₹100 OFF,https://www.zomato.com/ncr/white-cub-satyaniketan-new-delhi/order
Veg Daawat By Behrouz,4.1,"Biryani, Mughlai",₹300 for one,40 min,20% OFF,https://www.zomato.com/ncr/veg-daawat-by-behrouz-connaught-place-new-delhi/order
The Biryani Point,3.6,"Biryani, North Indian, Chinese, Shake, Beverages",₹200 for one,48 min,Flat 20% OFF,https://www.zomato.com/ncr/the-biryani-point-model-town-new-delhi/order
Sauce In My Pizza,3.7,"Pizza, Fast Food",₹150 for one,45 min,20% OFF,https://www.zomato.com/ncr/sauce-in-my-pizza-laxmi-nagar-new-delhi/order
Khushdil Sweets and Milkbar,4.0,"Desserts, Street Food",₹100 for one,44 min,No Offers,https://www.zomato.com/ncr/khushdil-sweets-and-milkbar-azad-market-new-delhi/order
The Great China,4.1,"Chinese, Rolls, Momos, Pasta, Burger",₹200 for one,40 min,No Offers,https://www.zomato.com/ncr/the-great-china-2-west-patel-nagar-new-delhi/order
Uncle Cake Shop,4.3,"Bakery, Desserts, Pizza, Burger, Sandwich, Chinese",₹150 for one,34 min,No Offers,https://www.zomato.com/ncr/uncle-cake-shop-inderlok-new-delhi/order
Kings Paan,4.6,"Paan, Ice Cream",₹100 for one,37 min,No Offers,https://www.zomato.com/ncr/kings-paan-safdarjung-new-delhi/order
Waffle O'Clock,4.1,"Waffle, Pancake, Shake",₹200 for one,36 min,Free Chololate Icecream (single Scoop),https://www.zomato.com/ncr/waffle-oclock-rajinder-nagar-new-delhi/order
Ballu Bawarchi,4.6,"North Indian, Biryani, Mughlai, Kebab",₹250 for one,39 min,₹125 OFF,https://www.zomato.com/ncr/ballu-bawarchi-chanakyapuri-new-delhi/order
"Bhatti Chicken - Grilled, NOT Fried!",4.1,North Indian,₹100 for one,34 min,₹200 OFF,https://www.zomato.com/ncr/bhatti-chicken-grilled-not-fried-karol-bagh-new-delhi/order
Blue Umbrella Cafe & Restaurant,3.9,"North Indian, Biryani, Chinese, Pasta, Burger, Sandwich",₹100 for one,46 min,No Offers,https://www.zomato.com/ncr/blue-umbrella-cafe-restaurant-geeta-colony-new-delhi/order
Akram Qureshi Foods,4.0,"Mughlai, North Indian",₹150 for one,57 min,No Offers,https://www.zomato.com/ncr/akram-qureshi-foods-1-jama-masjid-new-delhi/order
WarmOven Cake & Desserts,4.5,"Bakery, Desserts, Ice Cream, Shake, Beverages",₹350 for one,48 min,60% OFF,https://www.zomato.com/ncr/warmoven-cake-desserts-laxmi-nagar-new-delhi/order
FroGo - One Stop Ice Cream Shop,-,"Ice Cream, Desserts",₹150 for one,38 min,No Offers,https://www.zomato.com/ncr/frogo-one-stop-ice-cream-shop-satyaniketan-new-delhi/order
SubKing,4.2,"Sandwich, Burger, Pasta, Fast Food, Salad",₹200 for one,31 min,No Offers,https://www.zomato.com/ncr/subking-rajinder-nagar-new-delhi/order
"WeFit - Protein Bowls, Salads & Sandwiches",4.4,"Salad, Sandwich",₹100 for one,34 min,₹200 OFF,https://www.zomato.com/ncr/wefit-protein-bowls-salads-sandwiches-karol-bagh-new-delhi/order
Peppy Parathas & Rolls by Chai Point,4.3,"Fast Food, North Indian, Rolls, Healthy Food",₹150 for one,30 min,50% OFF,https://www.zomato.com/ncr/peppy-parathas-rolls-by-chai-point-connaught-place-new-delhi/order
Golden Wings,3.5,"Burger, Fast Food, Shake, Beverages",₹150 for one,42 min,Free French Fries,https://www.zomato.com/ncr/golden-wings-vikas-marg-new-delhi/order
Delhi Cacies,4.0,"Desserts, Drinks Only, North Indian, Roast Chicken, Healthy Food",₹500 for one,34 min,₹125 OFF,https://www.zomato.com/ncr/delhi-cacies-chanakyapuri-new-delhi/order
Sandoz,4.3,"North Indian, Mughlai, Chinese",₹400 for one,38 min,No Offers,https://www.zomato.com/ncr/sandoz-1-satyaniketan-new-delhi/order
One Tap Biryani,4.2,"Biryani, North Indian, Mughlai",₹300 for one,33 min,No Offers,https://www.zomato.com/ncr/one-tap-biryani-paharganj-new-delhi/order
Iconic Food Plaza,4.1,"North Indian, Biryani, Street Food",₹150 for one,51 min,No Offers,https://www.zomato.com/ncr/iconic-food-plaza-east-patel-nagar-new-delhi/order
Desi Mojo,4.0,"North Indian, South Indian, Chinese, Beverages, Continental, Desserts",₹150 for one,31 min,No Offers,https://www.zomato.com/ncr/desi-mojo-paharganj-new-delhi/order
The Pizza Project by Oven Story,-,Pizza,₹100 for one,33 min,50% OFF,https://www.zomato.com/ncr/the-pizza-project-by-oven-story-1-asaf-ali-road-new-delhi/order
Slurpy Momos,3.8,"Momos, Rolls, Sandwich, Street Food, Fast Food, Shake, Beverages",₹150 for one,36 min,No Offers,https://www.zomato.com/ncr/slurpy-momos-1-rajinder-nagar-new-delhi/order
Hello G Sas Kitchen,3.5,"North Indian, Biryani, Chinese, Mughlai, Desserts, Beverages",₹200 for one,40 min,₹150 OFF,https://www.zomato.com/ncr/hello-g-sas-kitchen-paharganj-new-delhi/order
Pizza Gallery,3.4,"Pizza, Pasta, Fast Food, Shake",₹200 for one,61 min,No Offers,https://www.zomato.com/ncr/pizza-gallery-geeta-colony-new-delhi/order
Hide Out Cafe,3.9,"Rolls, Sandwich, North Indian",₹100 for one,41 min,No Offers,https://www.zomato.com/ncr/hide-out-cafe-inderlok-new-delhi/order
The Changezi Chicken,3.5,North Indian,₹200 for one,51 min,No Offers,https://www.zomato.com/ncr/the-changezi-chicken-azad-market-new-delhi/order
Dev Rasoi,4.1,"North Indian, Rolls, Chinese",₹150 for one,31 min,No Offers,https://www.zomato.com/ncr/dev-rasoi-karol-bagh-new-delhi/order
Nagpal's Chole Bhature,3.6,"North Indian, Beverages",₹150 for one,41 min,Free Sweet Kullad Lassi,https://www.zomato.com/ncr/nagpals-chole-bhature-defence-colony-new-delhi/order
FFC Restaurant,4.0,"Fast Food, Wraps, Burger",₹100 for one,52 min,No Offers,https://www.zomato.com/ncr/ffc-restaurant-asaf-ali-road-new-delhi/order
